Image ID,Human_Label,LLM_Label
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-skeptical-black-kid-0,0,0
en-American-Pride-Eagle-10,0,1
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-American-Pride-Eagle-10,0,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,1
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,1
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Successful-Mexican-18,1,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Black-Kid-22,0,0
en-Generic-Indian-Guy-29,0,0
